x,y
-231.0,212.2
-230.9879356263209,213.22912898118312
-230.95174913622273,214.25769232243036
-230.89146041887804,215.28512469469834
-230.80710261076132,216.310861390558
-230.69872207743612,217.3343386345744
-230.56637838807117,218.35499389317476
-230.41014428269938,219.37226618383346
-230.23010563223778,220.3855963834048
-230.0263613912903,221.39442753543372
-229.7990235437593,222.39820515627576
-229.548217041296,223.39637753985758
-229.27407973462329,224.38839606091125
-228.9767622977688,225.37371547651495
-228.65642814525006,226.35179422577463
-228.31325334225696,227.32209472748218
-227.9474265078811,228.284083675586
-227.55914871144512,229.23723233231175
-227.14863336198897,230.1810168187726
-226.71610609097402,231.1149184029086
-226.26180462826926,232.0384237845971
-225.78597867148784,232.951025377778
-225.28888974874587,233.8522215894381
-224.77081107491884,234.74151709530153
-224.23202740147437,235.6184231120747
-223.6728348599646,236.48245766609622
-223.09354079926334,237.33314585824394
-222.4944636166379,238.17002012495362
-221.8759325827486,238.99262049520584
-221.23828766067172,239.8004948433398
-220.58187931904575,240.593199137555
-219.90706833944338,241.37029768396425
-219.21422561807506,242.1313633660642
-218.5037319619336,242.87597787949113
-217.77597787949114,243.60373196193356
-217.03136336606423,244.31422561807503
-216.27029768396426,245.00706833944335
-215.49319913755502,245.68187931904575
-214.70049484333984,246.33828766067168
-213.89262049520588,246.97593258274856
-213.07002012495363,247.59446361663785
-212.23314585824394,248.1935407992633
-211.38245766609626,248.77283485996458
-210.51842311207471,249.33202740147436
-209.64151709530154,249.8708110749188
-208.75222158943814,250.38888974874587
-207.851025377778,250.8859786714878
-206.9384237845971,251.36180462826923
-206.0149184029086,251.81610609097402
-205.08101681877264,252.24863336198894
-204.13723233231175,252.65914871144508
-203.184083675586,253.04742650788108
-202.22209472748222,253.41325334225692
-201.25179422577463,253.75642814525003
-200.27371547651495,254.07676229776877
-199.28839606091125,254.37407973462325
-198.2963775398576,254.64821704129596
-197.29820515627574,254.89902354375926
-196.29442753543373,255.12636139129026
-195.2855963834048,255.33010563223775
-194.27226618383347,255.51014428269934
-193.25499389317477,255.66637838807114
-192.2343386345744,255.79872207743608
-191.210861390558,255.90710261076129
-190.18512469469835,255.991460418878
-189.15769232243036,256.0517491362227
-188.12912898118313,256.08793562632087
-187.1,256.09999999999997
